"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.17483531147535,0.95,0.047,0,"0","FCN1"
0,6.76464193197157,0.935,0.035,0,"0","VCAN"
0,3.60697672992541,0.974,0.118,0,"0","IFI30"
0,3.23047575902965,0.981,0.131,0,"0","CST3"
0,5.33715026799771,0.886,0.051,0,"0","MNDA"
0,5.56505502521325,0.994,0.16,0,"0","LYZ"
0,7.2198337822592,0.991,0.164,0,"0","S100A8"
0,7.07762004200378,0.842,0.015,0,"0","CD14"
0,7.53803048838466,0.838,0.017,0,"0","S100A12"
0,3.30841270015568,0.861,0.046,0,"0","SERPINA1"
0,6.72665161782003,0.99,0.182,0,"0","S100A9"
0,5.17505970874318,0.816,0.028,0,"0","MS4A6A"
0,3.49244432785324,0.868,0.081,0,"0","SPI1"
0,2.47236133815017,0.903,0.125,0,"0","LST1"
0,4.34196520212684,0.871,0.094,0,"0","TYMP"
0,6.2198801479589,0.791,0.02,0,"0","CSF3R"
0,5.31474600963814,0.796,0.032,0,"0","CSTA"
0,3.13464306979135,0.986,0.23,0,"0","TYROBP"
0,3.0856148781975,0.951,0.203,0,"0","AIF1"
0,3.71172399965997,0.858,0.141,0,"0","GRN"
0,1.98189345454372,0.897,0.2,0,"0","FCER1G"
0,4.45108511432547,0.743,0.047,0,"0","NCF2"
0,3.86241420170975,0.773,0.079,0,"0","CYBB"
0,2.94170659574996,0.75,0.072,0,"0","CD68"
0,3.98472352281894,0.735,0.057,0,"0","FGL2"
0,3.1343669526298,0.744,0.068,0,"0","CFD"
0,4.33471459481796,0.75,0.083,0,"0","CEBPD"
0,2.81002271453813,0.932,0.268,0,"0","LGALS1"
0,3.58260889425769,0.808,0.148,0,"0","APLP2"
0,5.39785883624327,0.673,0.02,0,"0","LGALS2"
0,5.42328466290615,0.667,0.022,0,"0","TNFAIP2"
0,0.993104075697801,0.841,0.204,0,"0","HLA-DRA"
0,3.37701730603613,0.721,0.085,0,"0","CFP"
0,5.76065213035178,0.653,0.019,0,"0","FPR1"
0,3.47694481218663,0.974,0.34,0,"0","CTSS"
0,4.69701650705936,0.665,0.034,0,"0","SLC11A1"
0,3.19442416947799,0.747,0.116,0,"0","LGALS3"
0,4.69090567111965,0.664,0.036,0,"0","CD302"
0,4.15879226225361,0.665,0.046,0,"0","MPEG1"
0,5.35086850679465,0.643,0.025,0,"0","LRP1"
0,2.83029152770007,0.818,0.21,0,"0","PYCARD"
0,3.11941217747926,0.827,0.221,0,"0","NCF1"
0,2.93097695166413,0.747,0.149,0,"0","RNF130"
0,2.54620885979503,0.75,0.156,0,"0","FGR"
0,4.05219231239025,0.628,0.035,0,"0","CD36"
0,1.44200413415152,0.85,0.259,0,"0","HLA-DRB1"
0,3.07842452293634,0.724,0.139,0,"0","FCGRT"
0,3.19214086705952,0.623,0.039,0,"0","LILRB2"
0,3.26949524603473,0.718,0.135,0,"0","PGD"
0,3.9093734270926,0.642,0.06,0,"0","TNFSF13B"
0,3.82272746937156,0.651,0.07,0,"0","BLVRB"
0,5.63383050822858,0.594,0.02,0,"0","PLBD1"
0,3.3864148332446,0.617,0.046,0,"0","HCK"
0,2.91922529364037,0.904,0.337,0,"0","TKT"
0,4.4736719714561,0.594,0.03,0,"0","CLEC7A"
0,3.51860647204274,0.619,0.055,0,"0","RAB31"
0,3.05736176148462,0.777,0.214,0,"0","BRI3"
0,3.20024408387948,0.955,0.398,0,"0","NEAT1"
0,3.96877958511374,0.583,0.033,0,"0","CPVL"
0,2.47683935764774,0.757,0.208,0,"0","MYO1F"
0,2.88912741186421,0.972,0.425,0,"0","S100A11"
0,2.95396925062309,0.669,0.125,0,"0","CAPG"
0,2.70176813651009,0.726,0.182,0,"0","FOS"
0,4.79075871629068,0.57,0.03,0,"0","NAIP"
0,4.33917767760748,0.568,0.031,0,"0","CLEC12A"
0,4.20656089950702,0.57,0.033,0,"0","IGSF6"
0,2.70087334707522,0.729,0.193,0,"0","AP1S2"
0,4.29766296882814,0.568,0.032,0,"0","TGFBI"
0,2.38270696469069,0.925,0.393,0,"0","SAT1"
0,5.02515769106111,0.562,0.033,0,"0","DUSP6"
0,2.67207357912933,0.714,0.193,0,"0","CTSB"
0,2.95805538775518,0.637,0.117,0,"0","JAML"
0,2.28642211344641,0.779,0.264,0,"0","ANXA5"
0,4.34579733773625,0.541,0.027,0,"0","ALDH2"
0,2.19942795059833,0.79,0.278,0,"0","ANXA2"
0,2.2919546202573,0.687,0.18,0,"0","ZEB2"
0,4.32484875501159,0.536,0.029,0,"0","LILRB3"
0,2.39215616579627,0.84,0.333,0,"0","TALDO1"
0,5.01520135530049,0.523,0.022,0,"0","KCTD12"
0,4.48974136672047,0.531,0.031,0,"0","TIMP2"
0,3.50142596388222,0.567,0.068,0,"0","ODF3B"
0,2.58550505581779,0.631,0.134,0,"0","CTSZ"
0,3.85113184895994,0.528,0.035,0,"0","SLC7A7"
0,4.16046737671879,0.524,0.031,0,"0","PRAM1"
0,3.83568910048972,0.522,0.029,0,"0","LILRA5"
0,3.2117061845837,0.524,0.036,0,"0","PILRA"
0,2.16309142054754,0.753,0.268,0,"0","STXBP2"
0,2.59422629941595,0.636,0.154,0,"0","AGTRAP"
0,3.25442762861434,0.571,0.089,0,"0","KLF10"
0,4.57247965017179,0.507,0.026,0,"0","MAFB"
0,2.87765830350857,0.952,0.472,0,"0","TSPO"
0,2.36859943884103,0.673,0.197,0,"0","C4orf48"
0,2.30092462139371,0.846,0.371,0,"0","CTSD"
0,2.22939796334095,0.749,0.275,0,"0","ATP6V0B"
0,6.12186826712754,0.482,0.01,0,"0","CD93"
0,3.73419945234751,0.509,0.038,0,"0","C19orf38"
0,2.75177513713187,0.597,0.126,0,"0","IFNGR2"
0,4.61399491470791,0.499,0.029,0,"0","LRRK2"
0,2.93626518358245,0.545,0.076,0,"0","TBXAS1"
0,4.40053845933086,0.498,0.03,0,"0","IRAK3"
0,4.75315045097892,0.492,0.025,0,"0","DMXL2"
0,2.60074515444919,0.583,0.116,0,"0","CTSH"
0,2.93605848330847,0.563,0.101,0,"0","PTPRE"
0,3.79716618795486,0.498,0.037,0,"0","ZNF385A"
0,4.33234327936467,0.488,0.027,0,"0","PLXDC2"
0,5.99017034760436,0.468,0.01,0,"0","ASGR1"
0,3.51647066624151,0.526,0.07,0,"0","GCA"
0,4.6803102482724,0.476,0.021,0,"0","CD300E"
0,3.90723707331879,0.483,0.036,0,"0","TNFSF13"
0,4.20824371309631,0.47,0.023,0,"0","HK3"
0,2.12068754763367,0.91,0.469,0,"0","GSTP1"
0,2.21496642574137,0.709,0.269,0,"0","LTA4H"
0,2.0006093504866,0.717,0.277,0,"0","NPC2"
0,2.50062807474784,0.979,0.54,0,"0","PSAP"
0,1.87784770823673,0.652,0.215,0,"0","TNFRSF1B"
0,1.70807994783959,0.592,0.155,0,"0","LYN"
0,1.44147870050416,0.724,0.288,0,"0","EFHD2"
0,3.3740082510725,0.485,0.05,0,"0","CPPED1"
0,2.76858284109831,0.519,0.085,0,"0","SYK"
0,1.90251816474346,0.724,0.291,0,"0","AP2S1"
0,5.07260323464406,0.448,0.016,0,"0","CDA"
0,4.24405120469929,0.459,0.03,0,"0","EMILIN2"
0,3.35552114443474,0.494,0.065,0,"0","OGFRL1"
0,1.97508081586792,0.984,0.555,0,"0","COTL1"
0,3.29339966867641,0.496,0.068,0,"0","SULT1A1"
0,2.36389976850424,0.557,0.13,0,"0","LGALS9"
0,3.43714952012705,0.507,0.08,0,"0","NAMPT"
0,2.24698481586825,0.628,0.202,0,"0","CEBPB"
0,3.39757277227848,0.497,0.072,0,"0","MEGF9"
0,2.54016306839492,0.566,0.141,0,"0","NUP214"
0,1.84523371739232,0.665,0.241,0,"0","ASAH1"
0,6.30074598364093,0.431,0.008,0,"0","RBP7"
0,2.15301995674307,0.574,0.151,0,"0","IFITM3"
0,2.42228864967001,0.582,0.16,0,"0","IL17RA"
0,2.45680491673891,0.543,0.122,0,"0","THEMIS2"
0,2.71844328598923,0.459,0.039,0,"0","LRRC25"
0,5.65052768670064,0.428,0.01,0,"0","PTAFR"
0,3.36278032133718,0.468,0.052,0,"0","CCDC88A"
0,2.8869365576152,0.486,0.07,0,"0","STX11"
0,1.37798394923332,0.709,0.293,0,"0","TIMP1"
0,1.81256687665037,0.82,0.405,0,"0","RAC1"
0,4.10074150216239,0.441,0.03,0,"0","PLAUR"
0,2.27575727754158,0.573,0.162,0,"0","ATP6V0D1"
0,1.05188117829556,0.591,0.181,0,"0","HLA-DQB1"
0,1.75173370810851,0.806,0.4,0,"0","VSIR"
0,2.14855924160956,0.593,0.187,0,"0","GRINA"
0,2.33828644557968,0.571,0.167,0,"0","ADA2"
0,3.10145985367651,0.462,0.059,0,"0","LY86"
0,2.77576105988188,0.481,0.079,0,"0","ITGAM"
0,1.89487289411238,0.747,0.347,0,"0","SERPINB1"
0,3.02718787777592,0.484,0.084,0,"0","RAB11FIP1"
0,2.81477966308491,0.434,0.038,0,"0","RAB32"
0,3.66598952928107,0.438,0.043,0,"0","MARCKS"
0,3.73871849793097,0.424,0.03,0,"0","FCGR2A"
0,2.44528846402785,0.424,0.031,0,"0","SMIM25"
0,1.77981230783878,0.74,0.349,0,"0","TRAPPC5"
0,2.30618161902934,0.557,0.166,0,"0","MYADM"
0,4.27265332928436,0.418,0.027,0,"0","GAS7"
0,1.83857588520298,0.63,0.24,0,"0","TCIRG1"
0,6.97458333696678,0.394,0.004,0,"0","CD163"
0,3.72433825590887,0.418,0.029,0,"0","LILRA2"
0,2.02958035046272,0.564,0.179,0,"0","GLIPR2"
0,3.46780661822016,0.408,0.026,0,"0","C5AR1"
0,1.63402383077274,0.525,0.145,0,"0","HLA-DRB5"
0,1.97598748721365,0.604,0.224,0,"0","SDCBP"
0,2.18268981802061,0.78,0.401,0,"0","MCL1"
0,5.91094641896836,0.385,0.007,0,"0","AC020656.1"
0,1.47607764310595,0.556,0.18,0,"0","PECAM1"
0,7.66220498917258,0.376,0.002,0,"0","CLEC4E"
0,4.19718779924078,0.391,0.019,0,"0","APOBEC3A"
0,1.73485681040103,0.519,0.149,0,"0","HLA-DMA"
0,2.61005437730852,0.467,0.098,0,"0","NAGK"
0,2.59271165575211,0.468,0.099,0,"0","ATP6V1B2"
0,3.79097557596954,0.4,0.032,0,"0","RXRA"
0,2.1636319066417,0.494,0.126,0,"0","HSBP1"
0,2.76402334500453,0.435,0.069,0,"0","ALOX5"
0,2.02676438334794,0.554,0.189,0,"0","CRTAP"
0,1.73028480905411,0.629,0.264,0,"0","H2AFY"
0,1.79677350490335,0.913,0.548,0,"0","AHNAK"
0,2.14106835888168,0.51,0.145,0,"0","RILPL2"
0,1.56384408524333,0.699,0.334,0,"0","C1orf162"
0,2.08730134162191,0.535,0.171,0,"0","PLEC"
0,1.27025557821581,0.965,0.603,0,"0","SRGN"
0,1.9777764151836,0.549,0.189,0,"0","ZNF106"
0,1.91894832038513,0.523,0.163,0,"0","LYST"
0,2.15236234935184,0.503,0.144,0,"0","GLUL"
0,4.29479301770017,0.38,0.022,0,"0","CLEC4A"
0,2.87423499016808,0.431,0.073,0,"0","RASSF2"
0,6.9206695977524,0.359,0.003,0,"0","STAB1"
0,2.98415428405636,0.436,0.081,0,"0","RGS2"
0,1.61620078933218,0.665,0.312,0,"0","PGLS"
0,1.84039351956772,0.522,0.169,0,"0","PLEKHO1"
0,5.17257839244654,0.364,0.012,0,"0","OSCAR"
0,4.8131955778631,0.367,0.016,0,"0","TLR2"
0,2.49711089862498,0.456,0.108,0,"0","BACH1"
0,1.95009153407533,0.386,0.039,0,"0","MS4A7"
0,3.72150585136433,0.373,0.026,0,"0","KLF4"
0,1.5412081977265,0.68,0.334,0,"0","CNPY3"
0,2.16382067476936,0.482,0.138,0,"0","EHBP1L1"
0,2.55152556301265,0.436,0.093,0,"0","PLSCR1"
0,1.28630206957115,0.557,0.215,0,"0","PLEK"
0,1.73203670614455,0.559,0.217,0,"0","RAB5IF"
0,1.84948710619188,0.568,0.226,0,"0","PPT1"
0,2.28206398211125,0.488,0.146,0,"0","CDC42EP3"
0,2.89575627320377,0.405,0.064,0,"0","CREG1"
0,2.10963712596454,0.491,0.151,0,"0","QKI"
0,3.71708947653598,0.37,0.03,0,"0","SULF2"
0,1.58320528557329,0.636,0.297,0,"0","CARD16"
0,2.25579595133677,0.403,0.065,0,"0","LILRB1"
0,3.88153153101257,0.363,0.025,0,"0","PLXNB2"
0,1.5568164722405,0.755,0.418,0,"0","PRELID1"
0,1.28941424978575,0.772,0.435,0,"0","ZYX"
0,2.8988778064005,0.395,0.058,0,"0","PAK1"
0,4.12521248601065,0.358,0.021,0,"0","CD33"
0,3.59854246828525,0.373,0.039,0,"0","MSRB1"
0,2.47860100812038,0.428,0.094,0,"0","BLVRA"
0,1.88023562448628,0.448,0.115,0,"0","WARS"
0,2.78152921564368,0.416,0.083,0,"0","AHR"
0,2.57722216944679,0.42,0.087,0,"0","SCPEP1"
0,1.46037311229951,0.778,0.446,0,"0","GNG5"
0,5.52421538027888,0.34,0.009,0,"0","BST1"
0,5.69656181010289,0.338,0.007,0,"0","MGST1"
0,2.52825874118949,0.369,0.038,0,"0","HMOX1"
0,4.92103721309658,0.345,0.014,0,"0","NLRP3"
0,1.4141494199665,0.538,0.208,0,"0","GSTO1"
0,4.68210095113735,0.346,0.016,0,"0","RBM47"
0,1.48377100412519,0.601,0.272,0,"0","GLIPR1"
0,3.36392692261187,0.354,0.025,0,"0","PYGL"
0,1.74424553350034,0.562,0.234,0,"0","FBXL5"
0,2.58626173272825,0.417,0.089,0,"0","ARHGAP26"
0,2.2648742687682,0.434,0.108,0,"0","SNX10"
0,1.39478231648006,0.731,0.405,0,"0","IQGAP1"
0,1.40092748081075,0.729,0.403,0,"0","ARRB2"
0,4.1743925964615,0.343,0.018,0,"0","TMEM176B"
0,1.66484185300677,0.559,0.235,0,"0","GLRX"
0,5.54312619474012,0.332,0.008,0,"0","SIRPA"
0,1.47531929303012,0.724,0.4,0,"0","GRB2"
0,1.54372622111051,0.839,0.517,0,"0","LAMTOR4"
0,6.31646161890099,0.323,0.005,0,"0","TREM1"
0,1.93050813020048,0.488,0.17,0,"0","NBPF26"
0,1.42034588133482,0.746,0.429,0,"0","CAST"
