"patient_id","timepoint","n_cells","median_nFeature","median_percent_mt","pct_above_15mt"
"PT1","week1",1263,1169,5.84192439862543,12.5890736342043
"PT1","week15",2342,1328,5.36520865775337,11.5713065755764
"PT1","week3",2893,1742,2.92112950340798,2.45419979260283
"PT1","week7",2104,1310.5,5.30863835062308,8.50760456273764
"PT11","week1",1793,1756,3.35799658508822,0.948131622978249
"PT11","week15",2759,1674,3.11811023622047,2.24719101123596
"PT11","week3",3141,1587,3.1742125984252,1.52817574021012
"PT11","week7",3397,1537,3.1,1.50132469826317
"PT13","week1",1845,1228,6.61375661375661,15.3929539295393
"PT13","week15",1662,1244.5,6.60615013488547,9.74729241877256
"PT13","week3",1787,1444,3.98092093193909,10.3525461667599
"PT13","week7",2441,1214,7.0214175314639,12.2490782466202
"PT15","week1",4555,1514,2.82258064516129,2.56860592755214
"PT15","week15",4366,1538,3.31788767704472,3.2524049473202
"PT15","week3",1585,1339,4.48331075255573,15.8990536277603
"PT15","week7",3803,1584,3.00751879699248,4.62792532211412
"PT5","week1",2629,1820,3.00982800982801,2.05401293267402
"PT5","week15",3002,1643,2.98341569544083,1.06595602931379
"PT5","week3",2308,1823,2.82173094817838,1.47313691507799
"PT5","week7",2822,1852,2.85014910276299,1.98440822111977
"PT6","week1",1641,1099,5.67458019687319,7.55636806825107
"PT6","week15",2130,1144,5.72985530140343,10.093896713615
"PT6","week3",3103,1609,3.05223410950283,3.12600708991299
"PT6","week7",2130,1186.5,5.28440009690352,8.26291079812207
"PT7","week1",1303,1064,6.73534072900159,11.128165771297
"PT7","week15",1922,1074,5.74642385408763,5.8792924037461
"PT7","week3",3156,1742,3.28356146141864,2.12294043092522
"PT7","week7",1687,1113,6,5.51274451689389
NA,NA,5898,1705,3.17886561532669,1.79721939640556
