"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.66220498917258,0.376,0.002,0,"0","CLEC4E"
0,7.53803048838466,0.838,0.017,0,"0","S100A12"
0,7.2198337822592,0.991,0.164,0,"0","S100A8"
0,7.19884670518158,0.27,0.002,0,"0","CYP27A1"
0,7.07762004200378,0.842,0.015,0,"0","CD14"
0,2.50485005846825,0.28,0.052,0,"1","ADTRP"
0,2.16132462089347,0.381,0.094,0,"1","FHIT"
0,1.82660086310396,0.343,0.101,0,"1","CHRM3-AS2"
0,1.73643506017536,0.276,0.086,0,"1","EPHX2"
0,1.6864834689748,0.666,0.238,0,"1","CCR7"
0,1.8231614826706,0.272,0.079,0,"2","CD40LG"
0,1.80917744544475,0.573,0.199,0,"2","AQP3"
0,1.72363875093494,0.41,0.153,0,"2","GATA3"
0,1.58318227663403,0.518,0.207,0,"2","TRADD"
0,1.5702465889376,0.414,0.152,0,"2","GPR183"
0,6.03199641762956,0.605,0.011,0,"3","SH2D1B"
0,5.29070676056952,0.788,0.028,0,"3","KLRF1"
0,5.1974841037104,0.86,0.064,0,"3","SPON2"
0,5.16825918072411,0.267,0.008,0,"3","NCAM1"
0,5.16811987176252,0.356,0.01,0,"3","NCR1"
0,9.86011643717681,0.481,0.001,0,"4","VPREB3"
0,9.58482305365024,0.364,0.001,0,"4","COL19A1"
0,9.30464051539958,0.329,0.001,0,"4","CD24"
0,9.2347039047512,0.851,0.003,0,"4","LINC00926"
0,9.18607509559862,0.404,0.001,0,"4","PAX5"
0,4.70117000909352,0.765,0.039,0,"5","LINC02446"
0,4.62728144888346,0.254,0.011,0,"5","CD248"
0,3.59693642631766,0.978,0.114,0,"5","CD8B"
0,2.88018500392191,0.301,0.042,0,"5","NT5E"
0,2.75769385047992,0.322,0.05,0,"5","LRRN3"
0,3.16992359182253,0.578,0.092,0,"6","GZMK"
0,2.93839700674063,0.826,0.146,0,"6","CD8A"
0,2.72393529690034,0.817,0.126,0,"6","CD8B"
0,2.52270614895821,0.376,0.072,0,"6","KLRC4"
0,2.35045366772527,0.765,0.259,0,"6","DUSP2"
0,7.28445416533127,0.403,0.005,0,"7","TRDV2"
0,6.20660248724107,0.352,0.006,0,"7","SLC4A10"
0,5.63725043666785,0.471,0.028,0,"7","TRGV9"
0,4.64767295521731,0.409,0.017,0,"7","TRAV1-2"
0,3.45775244723015,0.914,0.168,0,"7","KLRB1"
0,6.05685301102733,1,0.026,0,"8","TRBV20-1"
3.30381356596873e-254,1.126940675721,0.635,0.301,6.50620005546223e-250,"8","MAL"
2.55803265290011e-127,1.03693112865477,0.415,0.208,5.03753370335618e-123,"8","TRAT1"
1.48808772033762e-153,1.03548181284891,0.474,0.236,2.93049114766088e-149,"8","AQP3"
1.04365899927128e-87,1.03475637085066,0.276,0.131,2.05527766726492e-83,"8","CHRM3-AS2"
0,8.22304790225953,0.251,0.002,0,"9","AQP10"
0,8.03658058974973,0.916,0.019,0,"9","GP9"
0,8.01076765677344,0.461,0.005,0,"9","GP1BA"
0,7.98608322625527,0.455,0.005,0,"9","TUBA8"
0,7.97011134972374,0.399,0.004,0,"9","LY6G6F"
0,3.55658594694349,0.753,0.098,0,"10","GZMH"
